Channel_1.Device_1.Bool_1;1000;False;True;Unknow
S7:[S7 connection_52]DB801,STRING530.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B546;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B547;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL548;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL552;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING556.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B572;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B573;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL574;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL578;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING582.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B598;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B599;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL600;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL604;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING608.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B624;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B625;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL626;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL630;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING634.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B650;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B651;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL652;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL656;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING660.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B676;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B677;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL678;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL682;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING686.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B702;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B703;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL704;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL708;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING712.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B728;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B729;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL730;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL734;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING738.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B754;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B755;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL756;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL760;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING764.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B780;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B781;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL782;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL786;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING790.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B806;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B807;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL808;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL812;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING816.13;1000;0;0;Unknow
S7:[S7 connection_52]DB800,INT42;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X138.0;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X138.1;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X138.2;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X138.3;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X138.4;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X138.5;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X138.6;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X138.7;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X139.0;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X139.1;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X139.2;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X139.3;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X139.4;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X139.6;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X139.7;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X140.0;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X140.1;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X140.2;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X140.3;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X142.0;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X142.1;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X142.2;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X142.3;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X142.4;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X142.5;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X142.6;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X142.7;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X143.1;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X143.0;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X143.2;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X143.3;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B0;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B1;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL2;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL6;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING10.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B26;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B27;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL28;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL32;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING36.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B52;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B53;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL54;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL58;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING62.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B78;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B79;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL80;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL84;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING98.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B104;1000;0;0;Unknow
